x,y,z,yaw,velocity,change_flag
-0.4231,-0.0001,-2.1193,0.0096,0.0000,0
1.6304,-0.1033,-2.0905,-0.0395,0.3672,0
3.8730,-0.2773,-2.0638,-0.0789,1.6067,0
6.0039,-0.3865,-2.0575,-0.0724,2.1337,0
8.1405,-0.3722,-2.0368,-0.0412,2.1367,0
10.3382,-0.3248,-1.9954,-0.0081,1.8319,0
12.4991,-0.2333,-1.9470,0.0065,1.3517,0
14.6753,-0.2360,-1.9061,-0.0110,1.2090,0
17.0167,-0.2828,-1.8777,-0.0285,1.6728,0
19.3154,-0.3617,-1.8443,-0.0394,1.9168,0
21.5564,-0.4348,-1.8220,-0.0384,1.8685,0
23.7073,-0.4239,-1.7929,-0.0316,1.7924,0
25.8251,-0.5028,-1.7689,-0.0480,1.7661,0
27.9727,-0.6143,-1.7627,-0.0628,1.7921,0
30.1970,-0.6833,-1.7522,-0.0545,1.8545,0
32.3564,-0.5673,-1.7367,0.0189,1.8021,0
34.4767,-0.0454,-1.7044,0.1564,1.8197,0
36.4615,0.8415,-1.6663,0.3324,1.8117,0
38.0659,2.0626,-1.6600,0.5385,2.0161,0
39.3243,3.6291,-1.6597,0.7592,2.0095,0
40.2090,5.6894,-1.6538,1.0246,1.8680,0
40.5761,8.0280,-1.6601,1.2794,1.9732,0
40.6399,10.4450,-1.5761,1.4499,2.0149,0
40.6061,12.5118,-1.5468,1.5287,2.0671,0
40.6076,14.5764,-1.5121,1.5403,2.0646,0
40.6848,16.7174,-1.4763,1.5238,2.1424,0
40.8062,18.8433,-1.4372,1.5058,2.1294,0
40.9787,21.0354,-1.3838,1.4869,2.1989,0
41.1691,23.2756,-1.3809,1.4714,2.2483,0
41.3402,25.5620,-1.3536,1.4798,2.2928,0
41.4298,27.9252,-1.3254,1.5092,2.3649,0
41.4372,30.2439,-1.2819,1.5327,2.3187,0
41.4962,32.6572,-1.2567,1.5268,2.4141,0
41.5925,35.0528,-1.2193,1.5246,2.3974,0
41.6847,37.4693,-1.1743,1.5185,2.4184,0
41.8148,39.8862,-1.1513,1.5068,2.4203,0
41.9198,42.3221,-1.1143,1.5117,2.4383,0
41.9969,44.7873,-1.0838,1.5197,2.4663,0
42.0479,47.2277,-1.0409,1.5246,2.4410,0
42.1315,49.2663,-1.0303,1.5205,2.5504,0
42.2638,51.3026,-1.0012,1.5039,2.5508,0
42.4526,53.3306,-0.9803,1.4833,2.5460,0
42.6740,55.8047,-0.9360,1.4696,2.4839,0
42.8818,58.2552,-0.8963,1.4708,2.4594,0
43.0480,60.6936,-0.8667,1.4744,2.4440,0
43.2045,63.1168,-0.8161,1.4796,2.4283,0
43.3604,65.5190,-0.7839,1.4835,2.4072,0
43.5018,67.9439,-0.7568,1.4905,2.4291,0
43.6046,70.3529,-0.7279,1.4981,2.4113,0
43.7014,72.6476,-0.6918,1.5053,2.2967,0
43.7672,74.7887,-0.6563,1.5201,2.1420,0
43.7137,76.8335,-0.6732,1.5567,2.0457,0
43.4369,78.8322,-0.6779,1.6415,2.0178,0
42.9845,80.7883,-0.6324,1.7331,2.0078,0
42.2952,82.7386,-0.6261,1.8351,2.0685,0
41.3725,84.5691,-0.5938,1.9484,2.0500,0
40.0152,86.5583,-0.5883,2.0835,2.0068,0
38.4659,88.3780,-0.5913,2.2072,1.9915,0
